/home/lujunda/.conda/envs/myyolov5/lib/python3.7/site-packages/torchvision/models/_utils.py:209: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  f"The parameter '{pretrained_param}' is deprecated since 0.13 and may be removed in the future, "
/home/lujunda/.conda/envs/myyolov5/lib/python3.7/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet50_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet50_Weights.DEFAULT` to get the most up-to-date weights.
Epoch [2/30], Batch [295/1163], Loss: 9.0521
Epoch [2/30], Batch [300/1163], Loss: 9.0982
Epoch [2/30], Batch [305/1163], Loss: 9.3450
Epoch [2/30], Batch [310/1163], Loss: 9.1385
Epoch [2/30], Batch [315/1163], Loss: 8.7963
Epoch [2/30], Batch [320/1163], Loss: 9.0852
Epoch [2/30], Batch [325/1163], Loss: 8.9444
Epoch [2/30], Batch [330/1163], Loss: 8.9610
Epoch [2/30], Batch [335/1163], Loss: 9.0836
Epoch [2/30], Batch [340/1163], Loss: 8.9687
Epoch [2/30], Batch [345/1163], Loss: 8.8257
Epoch [2/30], Batch [350/1163], Loss: 9.0228
Epoch [2/30], Batch [355/1163], Loss: 8.9219
Epoch [2/30], Batch [360/1163], Loss: 9.2216
Epoch [2/30], Batch [365/1163], Loss: 8.9198
Epoch [2/30], Batch [370/1163], Loss: 9.1959
Epoch [2/30], Batch [375/1163], Loss: 8.7543
Epoch [2/30], Batch [380/1163], Loss: 9.0579
Epoch [2/30], Batch [385/1163], Loss: 9.2469
Epoch [2/30], Batch [390/1163], Loss: 8.9282
Epoch [2/30], Batch [395/1163], Loss: 9.0288
Epoch [2/30], Batch [400/1163], Loss: 8.9597
Epoch [2/30], Batch [405/1163], Loss: 9.0900
Epoch [2/30], Batch [410/1163], Loss: 8.8347
Epoch [2/30], Batch [415/1163], Loss: 8.9579
Epoch [2/30], Batch [420/1163], Loss: 8.8144
Epoch [2/30], Batch [425/1163], Loss: 8.9130
Epoch [2/30], Batch [430/1163], Loss: 9.0639
Epoch [2/30], Batch [435/1163], Loss: 9.0084
Epoch [2/30], Batch [440/1163], Loss: 8.7352
Epoch [2/30], Batch [445/1163], Loss: 9.2932
Epoch [2/30], Batch [450/1163], Loss: 8.8859
Epoch [2/30], Batch [455/1163], Loss: 8.7165
Epoch [2/30], Batch [460/1163], Loss: 9.1527
Epoch [2/30], Batch [465/1163], Loss: 9.0385
Epoch [2/30], Batch [470/1163], Loss: 8.8861
Epoch [2/30], Batch [475/1163], Loss: 8.8756
Epoch [2/30], Batch [480/1163], Loss: 8.9500
Epoch [2/30], Batch [485/1163], Loss: 8.8446
Epoch [2/30], Batch [490/1163], Loss: 8.8227
Epoch [2/30], Batch [495/1163], Loss: 8.9899
Epoch [2/30], Batch [500/1163], Loss: 8.9904
Epoch [2/30], Batch [505/1163], Loss: 8.8991
Epoch [2/30], Batch [510/1163], Loss: 9.1078
Epoch [2/30], Batch [515/1163], Loss: 8.9345
Epoch [2/30], Batch [520/1163], Loss: 8.9896
Epoch [2/30], Batch [525/1163], Loss: 8.8732
Epoch [2/30], Batch [530/1163], Loss: 8.8373
Epoch [2/30], Batch [535/1163], Loss: 8.9579
Epoch [2/30], Batch [540/1163], Loss: 8.9630
Epoch [2/30], Batch [545/1163], Loss: 8.9843
Epoch [2/30], Batch [550/1163], Loss: 8.9288
Epoch [2/30], Batch [555/1163], Loss: 9.0507
Epoch [2/30], Batch [560/1163], Loss: 9.0642
Epoch [2/30], Batch [565/1163], Loss: 8.9053
Epoch [2/30], Batch [570/1163], Loss: 8.8211
Epoch [2/30], Batch [575/1163], Loss: 9.1957
Epoch [2/30], Batch [580/1163], Loss: 8.9256
Epoch [2/30], Batch [585/1163], Loss: 8.7540
Epoch [2/30], Batch [590/1163], Loss: 8.8008
Epoch [2/30], Batch [595/1163], Loss: 8.9443
Epoch [2/30], Batch [600/1163], Loss: 8.8434
Epoch [2/30], Batch [605/1163], Loss: 9.0977
Epoch [2/30], Batch [610/1163], Loss: 8.8747
Epoch [2/30], Batch [615/1163], Loss: 8.7359
Epoch [2/30], Batch [620/1163], Loss: 9.3476
Epoch [2/30], Batch [625/1163], Loss: 9.0456
Epoch [2/30], Batch [630/1163], Loss: 9.1680
Epoch [2/30], Batch [635/1163], Loss: 8.8171
Epoch [2/30], Batch [640/1163], Loss: 9.2653
Epoch [2/30], Batch [645/1163], Loss: 9.2248
Epoch [2/30], Batch [650/1163], Loss: 8.9611
Epoch [2/30], Batch [655/1163], Loss: 9.0470
Epoch [2/30], Batch [660/1163], Loss: 8.8832
Epoch [2/30], Batch [665/1163], Loss: 9.0473
Epoch [2/30], Batch [670/1163], Loss: 8.9752
Epoch [2/30], Batch [675/1163], Loss: 8.7460
Epoch [2/30], Batch [680/1163], Loss: 9.0008
Epoch [2/30], Batch [685/1163], Loss: 8.9652
Epoch [2/30], Batch [690/1163], Loss: 9.2692
Epoch [2/30], Batch [695/1163], Loss: 9.3107
Epoch [2/30], Batch [700/1163], Loss: 8.9197
Epoch [2/30], Batch [705/1163], Loss: 9.1956
Epoch [2/30], Batch [710/1163], Loss: 9.0295
Epoch [2/30], Batch [715/1163], Loss: 8.9036
Epoch [2/30], Batch [720/1163], Loss: 8.7694
Epoch [2/30], Batch [725/1163], Loss: 8.9856
Epoch [2/30], Batch [730/1163], Loss: 8.9478
Epoch [2/30], Batch [735/1163], Loss: 9.0222
Epoch [2/30], Batch [740/1163], Loss: 8.9469
Epoch [2/30], Batch [745/1163], Loss: 8.8518
Epoch [2/30], Batch [750/1163], Loss: 9.0344
Epoch [2/30], Batch [755/1163], Loss: 8.8836
Epoch [2/30], Batch [760/1163], Loss: 8.9094
Epoch [2/30], Batch [765/1163], Loss: 8.9687
Epoch [2/30], Batch [770/1163], Loss: 9.0626
Epoch [2/30], Batch [775/1163], Loss: 9.0785
Epoch [2/30], Batch [780/1163], Loss: 8.8821
Epoch [2/30], Batch [785/1163], Loss: 9.1034
Epoch [2/30], Batch [790/1163], Loss: 8.8465
Epoch [2/30], Batch [795/1163], Loss: 8.9213
Epoch [2/30], Batch [800/1163], Loss: 8.8818
Epoch [2/30], Batch [805/1163], Loss: 8.8524
Epoch [2/30], Batch [810/1163], Loss: 8.9022
Epoch [2/30], Batch [815/1163], Loss: 9.1395
Epoch [2/30], Batch [820/1163], Loss: 9.1865
Epoch [2/30], Batch [825/1163], Loss: 9.0933
Epoch [2/30], Batch [830/1163], Loss: 8.8803
Epoch [2/30], Batch [835/1163], Loss: 8.9075
Epoch [2/30], Batch [840/1163], Loss: 9.0615
Epoch [2/30], Batch [845/1163], Loss: 8.8013
Epoch [2/30], Batch [850/1163], Loss: 8.6658
Epoch [2/30], Batch [855/1163], Loss: 9.1054
Epoch [2/30], Batch [860/1163], Loss: 9.0739
Epoch [2/30], Batch [865/1163], Loss: 8.7812
Epoch [2/30], Batch [870/1163], Loss: 8.7459
Epoch [2/30], Batch [875/1163], Loss: 8.9453
Epoch [2/30], Batch [880/1163], Loss: 9.0354
Epoch [2/30], Batch [885/1163], Loss: 9.0225
Epoch [2/30], Batch [890/1163], Loss: 8.7723
Epoch [2/30], Batch [895/1163], Loss: 9.0124
Epoch [2/30], Batch [900/1163], Loss: 8.6974
Epoch [2/30], Batch [905/1163], Loss: 9.1008
Epoch [2/30], Batch [910/1163], Loss: 8.9111
Epoch [2/30], Batch [915/1163], Loss: 8.7251
Epoch [2/30], Batch [920/1163], Loss: 8.7832
Epoch [2/30], Batch [925/1163], Loss: 8.9672
Epoch [2/30], Batch [930/1163], Loss: 8.7857
Epoch [2/30], Batch [935/1163], Loss: 8.8052
Epoch [2/30], Batch [940/1163], Loss: 8.8684
Epoch [2/30], Batch [945/1163], Loss: 8.5748
Epoch [2/30], Batch [950/1163], Loss: 8.9122
Epoch [2/30], Batch [955/1163], Loss: 8.8171
Epoch [2/30], Batch [960/1163], Loss: 8.8311
Epoch [2/30], Batch [965/1163], Loss: 8.9256
Epoch [2/30], Batch [970/1163], Loss: 8.9168
Epoch [2/30], Batch [975/1163], Loss: 8.8401
Epoch [2/30], Batch [980/1163], Loss: 8.7514
Epoch [2/30], Batch [985/1163], Loss: 8.7791
Epoch [2/30], Batch [990/1163], Loss: 9.2902
Epoch [2/30], Batch [995/1163], Loss: 9.1095
Epoch [2/30], Batch [1000/1163], Loss: 9.1292
Epoch [2/30], Batch [1005/1163], Loss: 9.1215
Epoch [2/30], Batch [1010/1163], Loss: 8.6711
Epoch [2/30], Batch [1015/1163], Loss: 9.0597
Epoch [2/30], Batch [1020/1163], Loss: 8.8484
Epoch [2/30], Batch [1025/1163], Loss: 8.8192
Epoch [2/30], Batch [1030/1163], Loss: 8.8110
Epoch [2/30], Batch [1035/1163], Loss: 9.1687
Epoch [2/30], Batch [1040/1163], Loss: 9.1744
Epoch [2/30], Batch [1045/1163], Loss: 8.9283
